Respondent_ID,A1_Organization_Type,A2_Organization_Size,A3_Years_Of_Operation,A4_Number_Of_Employees,A5_Primary_Location,A6_Main_Waste_Type,A7_Formal_Waste_Policy,A8_Responsible_Party,B1_SegregateAtSource,B2_SeparateContainers,B3_LabelledBins,B4_EmployeeUnderstanding,B5_HazardousSeparate,B6_StorageHygiene,C1_MeasurableTargets,C2_MinimizeDisposables,C3_ReusablePreferred,C4_PaperlessProcess,C5_ProcurementConsidersRecyclability,C6_ReuseRepairRefurbish,D1_ScheduledCollection,D2_RecordsMaintained,D3_AuthorisedCollectors,D4_SafeTransport,D5_VerifiesDisposalFacility,D6_OverflowProcedures,E1_RecyclersUsed,E2_MonitorsDiversionRate,E3_OrganicComposted,E4_EmployeesIdentifyRecovery,E5_SupplierPackagingCollab,E6_RecyclingSavingsTracked,F1_RegularTraining,F2_ResponsibilitiesCommunicated,F3_AwarenessProgrammes,F4_EncouragedToReport,F5_ActiveParticipation,F6_IncentivesProvided,G1_ManagementSupport,G2_FinancialResourcesAllocated,G3_ResponsibilitiesAssigned,G4_PerformanceReviewed,G5_EnvObjectivesIntegrated,G6_CorrectiveActionsTaken,H1_AwareOfRules,H2_ComplianceReviewed,H3_LicencesMaintained,H4_ContractorsCompliance,H5_AuditsConducted,H6_NonComplianceDocumented,I1_DigitalRecording,I2_DataAnalysed,I3_KPIsUsed,I4_SmartTechUsed,I5_ReportsSharedWithMgmt,I6_DataBasedDecisions,J1_CommunicatesWithAuthorities,J2_GuidelinesConsidered,J3_CollaboratesWithRecyclers,J4_ContractorsEvaluated,J5_ParticipatesInProgrammes,J6_SuppliersEncouraged,K1_HighCosts,K2_LackOfAwareness,K3_LimitedInfrastructure,K4_InadequateMonitoring,K5_LackOfPersonnel,K6_LimitedRecyclerAccess,K7_InsufficientMgmtSupport,K8_IrregularCollection,B_Section_Score,C_Section_Score,D_Section_Score,E_Section_Score,F_Section_Score,G_Section_Score,H_Section_Score,I_Section_Score,J_Section_Score,K_Barriers_Score,Overall_Maturity_Score
R1499,Retail,Large: 250 employees or more,11-20 years,250 or more,Commercial area,Mixed municipal waste,Under development,Facility management team,3,2,3,2,2,3,2,4,4,3,3,3,4,3,3,4,3,3,4,4,4,4,3,4,3,3,4,5,4,4,4,4,5,,4,4,4,4,5,5,4,3,3,2,3,3,4,4,3,,2,4,3,4,3,1,2,3,1,2,3,3,2.5,3.17,3.33,3.83,3.83,4.2,4.17,3.17,3.2,2.25,3.49
R1500,Healthcare,Micro: Fewer than 10 employees,Less than 3 years,10-49,Semi-urban area,Food or organic waste,Not sure,External waste-management agency,3,3,2,3,2,3,2,3,3,2,2,3,2,3,2,2,2,3,3,3,3,4,3,2,2,3,2,4,2,2,2,3,3,2,3,4,2,3,4,4,3,2,2,3,3,3,4,3,3,4,3,2,1,4,2,2,2,3,1,2,2,2,2.67,2.5,2.33,3.0,2.5,2.83,3.0,3.0,2.83,2.0,2.74
R1501,Healthcare,Small: 10-49 employees,Less than 3 years,10-49,Commercial area,Mixed municipal waste,No,External waste-management agency,4,4,3,2,2,4,4,3,4,4,4,5,4,3,4,4,4,3,3,4,3,2,4,3,2,4,3,3,3,2,4,3,3,3,4,3,2,3,3,3,3,4,3,4,2,4,3,3,3,2,5,4,3,3,3,3,3,3,4,3,4,2,3.17,4.0,3.67,3.17,2.83,3.33,3.0,3.17,3.33,3.12,3.3
R1502,Information Technology,Medium: 50-249 employees,Less than 3 years,100-249,Urban area,Paper and cardboard,Under development,External waste-management agency,2,3,4,4,3,3,4,3,2,4,3,4,4,3,4,3,4,2,4,3,5,3,3,4,4,1,3,4,2,2,3,4,3,4,3,4,4,4,3,3,3,3,3,2,4,4,4,2,3,2,2,1,4,3,3,3,2,2,2,2,2,3,3.17,3.33,3.33,3.67,2.67,3.5,3.33,3.17,2.5,2.38,3.19
R1503,Information Technology,Small: 10-49 employees,6-10 years,50-99,Urban area,Paper and cardboard,Yes,Operations department,3,4,3,4,3,3,4,5,5,3,4,4,4,4,4,4,4,5,5,4,4,5,5,5,3,3,2,3,3,3,4,4,3,4,5,4,2,3,4,4,3,4,4,4,4,4,4,4,5,5,3,4,4,4,3,3,2,3,2,4,3,4,3.33,4.17,4.17,4.67,2.83,4.0,3.33,4.0,4.17,3.0,3.85
R1504,Retail,Small: 10-49 employees,3-5 years,10-49,Semi-urban area,Mixed municipal waste,Under development,External waste-management agency,3,5,4,5,4,3,3,4,3,5,3,3,4,3,3,3,4,2,,4,4,4,3,3,3,4,4,4,4,4,4,4,3,3,3,3,3,4,5,4,4,3,4,5,3,4,2,3,5,4,3,5,4,4,2,2,3,2,3,2,2,1,4.0,3.5,3.17,3.6,3.83,3.33,3.83,3.5,4.17,2.12,3.66
R1505,Retail,Micro: Fewer than 10 employees,6-10 years,Fewer than 10,Urban area,Paper and cardboard,Under development,External waste-management agency,4,4,3,4,4,4,4,4,3,4,3,2,5,5,5,5,5,5,3,3,4,3,3,4,3,4,4,3,3,3,3,3,3,3,4,4,,3,3,4,4,5,3,3,3,4,4,3,3,3,3,3,3,3,2,3,3,4,3,3,4,3,3.83,3.33,5.0,3.33,3.33,3.33,3.8,3.33,3.0,3.12,3.59
R1506,Hospitality/Services,Large: 250 employees or more,11-20 years,250 or more,Semi-urban area,Food or organic waste,Not sure,Operations department,,4,5,4,4,3,4,3,3,3,4,3,3,3,4,3,4,4,3,3,3,4,2,3,4,4,4,3,2,4,4,3,4,3,3,4,3,3,3,3,2,4,5,4,5,2,4,3,4,5,4,4,5,3,1,2,3,3,2,1,2,2,4.0,3.33,3.5,3.0,3.5,3.5,3.0,3.83,4.17,2.0,3.54
R1507,Hospitality/Services,Small: 10-49 employees,3-5 years,10-49,Urban area,Food or organic waste,No,External waste-management agency,2,2,,,3,2,4,5,3,4,4,3,3,2,2,2,1,3,2,2,1,2,1,3,4,3,3,2,2,3,4,2,2,4,2,4,2,3,2,3,2,2,2,3,1,2,3,3,3,4,1,3,1,2,4,5,5,4,4,3,5,5,2.25,3.83,2.17,1.83,2.83,3.0,2.33,2.33,2.33,4.38,2.54
R1508,Hospitality/Services,Micro: Fewer than 10 employees,6-10 years,Fewer than 10,Urban area,Paper and cardboard,No,External waste-management agency,4,3,3,3,3,4,3,2,3,2,2,3,5,4,5,5,5,5,,3,3,4,3,3,3,3,3,3,3,2,4,3,3,3,3,5,2,3,3,3,3,3,2,3,3,2,2,3,4,3,3,3,4,3,4,5,4,3,3,3,4,2,3.33,2.5,4.83,3.2,2.83,3.5,2.83,2.5,3.33,3.5,3.21
R1509,Manufacturing,Small: 10-49 employees,11-20 years,10-49,Urban area,Mixed municipal waste,Yes,Environmental or sustainability department,3,4,4,4,5,3,4,5,5,5,5,5,5,3,5,5,5,5,5,5,4,4,5,5,5,5,4,3,3,5,3,4,4,4,5,3,4,4,4,5,4,4,5,4,5,5,5,5,4,4,5,5,5,4,2,2,1,3,3,2,2,3,3.83,4.83,4.67,4.67,4.17,3.83,4.17,4.83,4.5,2.25,4.39
R1510,Manufacturing,Small: 10-49 employees,3-5 years,10-49,Semi-urban area,Plastic waste,Under development,Environmental or sustainability department,5,4,4,2,3,3,3,4,4,4,3,4,4,3,3,3,3,3,4,4,3,4,4,5,4,2,4,5,4,3,4,4,2,4,3,3,3,3,3,3,4,3,3,3,5,5,4,3,4,2,2,3,3,2,3,3,5,4,3,4,3,4,3.5,3.67,3.17,4.0,3.67,3.33,3.17,3.83,2.67,3.62,3.45
R1511,Retail,Small: 10-49 employees,Less than 3 years,Fewer than 10,Commercial area,Plastic waste,Not sure,Operations department,4,5,4,4,4,3,4,3,4,3,3,3,4,4,4,4,3,3,3,3,4,4,4,3,5,4,5,,3,3,3,4,3,4,4,4,4,3,4,3,3,5,3,,3,4,3,3,4,4,2,3,4,4,3,2,3,4,2,3,2,3,4.0,3.33,3.67,3.5,4.0,3.67,3.67,3.2,3.5,2.75,3.62
R1512,Information Technology,Micro: Fewer than 10 employees,11-20 years,Fewer than 10,Urban area,Mixed municipal waste,Yes,Facility management team,4,3,4,5,4,3,4,4,3,4,,5,4,4,4,4,3,4,4,4,5,5,3,4,3,4,2,4,5,4,4,3,4,2,3,3,2,4,3,3,3,4,2,4,3,3,3,3,4,3,4,3,4,3,3,3,3,3,4,3,3,3,3.83,4.0,3.83,4.17,3.67,3.17,3.17,3.0,3.5,3.12,3.59
R1513,Manufacturing,Large: 250 employees or more,Less than 3 years,250 or more,Semi-urban area,Plastic waste,No,Environmental or sustainability department,5,5,4,5,4,4,3,3,2,4,3,4,3,4,4,3,4,4,3,4,4,4,4,4,4,3,3,4,2,2,4,4,3,5,4,4,3,3,5,3,2,5,5,5,5,4,5,,3,4,3,5,3,3,2,2,2,3,2,3,4,2,4.5,3.17,3.67,3.83,3.0,4.0,3.5,4.8,3.5,2.5,3.77
R1514,Retail,Micro: Fewer than 10 employees,Less than 3 years,Fewer than 10,Urban area,Mixed municipal waste,No,External waste-management agency,4,2,3,3,3,5,3,3,4,3,3,4,2,1,2,2,2,3,1,1,1,1,1,2,3,3,2,1,3,3,3,4,3,3,2,3,3,3,3,3,3,2,3,3,4,3,3,3,4,3,4,3,2,4,5,4,4,,4,2,4,5,3.33,3.33,2.0,1.17,2.5,3.0,2.83,3.17,3.33,4.0,2.74
R1515,Healthcare,Small: 10-49 employees,3-5 years,10-49,Semi-urban area,Mixed municipal waste,Not sure,External waste-management agency,3,2,3,3,4,4,3,2,3,4,4,3,3,2,3,2,3,2,4,3,4,4,5,3,2,3,2,3,3,2,2,2,2,3,2,2,3,2,4,2,2,3,4,3,4,4,3,3,4,3,3,4,3,3,5,3,5,4,4,3,4,5,3.17,3.17,2.5,3.83,2.5,2.17,2.67,3.5,3.33,4.12,2.98
R1516,Manufacturing,Small: 10-49 employees,6-10 years,10-49,Urban area,Food or organic waste,Not sure,Facility management team,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
R1517,Information Technology,Medium: 50-249 employees,3-5 years,50-99,Urban area,Food or organic waste,No,External waste-management agency,5,4,4,4,4,3,3,4,4,5,2,2,4,3,3,3,3,3,1,2,1,2,1,1,3,3,3,3,3,4,3,4,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,2,1,2,3,4,2,2,5,3,3,3,2,2,2,2,4.0,3.33,3.17,1.33,3.17,3.17,3.17,2.83,2.33,2.75,2.94
R1518,Manufacturing,Medium: 50-249 employees,3-5 years,100-249,Semi-urban area,Mixed municipal waste,Under development,Operations department,4,3,4,4,5,4,5,4,4,5,5,4,3,3,2,3,3,3,5,4,5,5,3,3,5,4,5,5,5,5,4,5,3,4,4,4,4,4,3,4,2,2,3,2,4,3,3,4,5,4,3,4,4,4,2,1,3,2,3,4,3,3,4.0,4.5,2.83,4.17,4.83,4.0,3.17,3.17,4.0,2.62,3.85
R1519,Information Technology,Small: 10-49 employees,3-5 years,10-49,Semi-urban area,Mixed municipal waste,No,Operations department,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
R1520,Retail,Small: 10-49 employees,3-5 years,10-49,Urban area,Mixed municipal waste,No,External waste-management agency,4,2,2,3,2,4,2,3,2,2,2,2,3,,2,3,3,1,2,3,3,2,2,3,2,3,4,2,2,3,3,2,2,1,2,1,2,3,3,4,3,4,4,3,5,4,3,3,2,1,2,2,3,2,2,4,4,5,5,5,4,3,2.83,2.17,2.4,2.5,2.67,1.83,3.17,3.67,2.0,4.0,2.58
R1521,Healthcare,Micro: Fewer than 10 employees,Less than 3 years,Fewer than 10,Semi-urban area,Plastic waste,Not sure,External waste-management agency,2,2,3,3,2,3,4,4,4,3,2,4,3,3,3,4,4,4,4,3,4,4,4,4,4,2,3,3,3,2,3,3,3,2,3,4,4,4,4,3,2,4,2,3,3,2,3,3,2,3,3,4,3,3,3,4,4,4,4,3,3,3,2.5,3.5,3.5,3.83,2.83,3.0,3.5,2.67,3.0,3.5,3.15
R1522,Healthcare,Small: 10-49 employees,Less than 3 years,10-49,Urban area,Mixed municipal waste,No,External waste-management agency,1,1,1,1,2,1,3,3,2,3,1,2,3,1,2,1,3,1,3,3,2,3,2,3,3,3,3,4,3,3,2,2,2,2,3,2,3,2,4,2,2,2,3,2,2,1,3,3,,3,3,3,3,3,4,4,4,4,5,3,3,3,1.17,2.33,1.83,2.67,3.17,2.17,2.5,2.33,3.0,3.75,2.35
R1523,Manufacturing,Medium: 50-249 employees,Less than 3 years,50-99,Commercial area,Plastic waste,Not sure,Operations department,4,3,4,3,4,4,2,4,3,3,3,3,3,2,2,3,3,3,4,3,4,4,3,3,3,3,3,4,5,2,3,3,2,,2,2,3,3,3,2,3,3,3,4,4,5,4,4,3,4,3,3,3,3,3,3,4,4,4,4,2,3,3.67,3.0,2.67,3.5,3.33,2.4,2.83,4.0,3.17,3.38,3.17
R1524,Retail,Large: 250 employees or more,Less than 3 years,250 or more,Urban area,Mixed municipal waste,No,Operations department,3,3,4,4,4,2,3,3,3,4,5,4,5,4,4,4,,4,3,2,4,3,2,4,4,4,3,4,4,4,3,4,4,5,4,4,3,3,4,4,3,4,3,2,2,4,3,3,2,2,3,3,3,2,1,4,2,4,3,4,3,3,3.33,3.67,4.2,3.0,3.83,4.0,3.5,2.83,2.5,3.0,3.43
R1525,Information Technology,Micro: Fewer than 10 employees,6-10 years,Fewer than 10,Commercial area,Mixed municipal waste,No,Operations department,3,3,3,3,3,3,3,3,2,3,2,3,3,3,2,3,2,4,3,3,3,2,2,3,4,3,4,3,2,4,3,4,2,3,3,2,5,3,3,3,,3,3,,3,3,4,4,1,3,4,2,3,2,4,,4,5,4,4,4,4,3.0,2.67,2.83,2.67,3.33,2.83,3.4,3.4,2.5,4.14,2.96
R1526,Healthcare,Small: 10-49 employees,11-20 years,10-49,Commercial area,Mixed municipal waste,Yes,Operations department,5,5,4,5,4,4,4,4,4,4,4,4,4,5,3,4,3,5,4,3,4,3,4,5,4,3,4,4,4,4,3,4,4,4,4,4,3,4,3,2,5,3,4,3,3,5,4,5,5,4,5,4,5,5,1,3,2,3,2,2,2,2,4.5,4.0,4.0,3.83,3.83,3.83,3.33,4.0,4.67,2.12,4.0
R1527,Manufacturing,Small: 10-49 employees,6-10 years,10-49,Semi-urban area,Paper and cardboard,Yes,Operations department,3,4,4,5,4,4,4,4,4,3,4,4,4,3,4,3,4,3,4,3,4,3,4,3,5,5,5,4,4,3,5,3,3,5,4,4,5,3,4,4,4,4,4,4,5,5,5,5,5,3,5,4,4,3,4,3,3,4,2,2,3,4,4.0,3.83,3.5,3.5,4.33,4.0,4.0,4.67,4.0,3.12,3.98
R1528,Information Technology,Medium: 50-249 employees,Less than 3 years,50-99,Urban area,Food or organic waste,No,Operations department,4,4,4,5,5,5,4,4,5,5,5,5,4,,5,3,3,4,4,4,4,3,3,5,5,3,5,3,4,4,4,4,3,2,2,2,4,3,3,3,3,3,3,4,3,4,3,4,5,4,3,3,3,3,3,3,3,3,3,4,4,3,4.5,4.67,3.8,3.83,4.0,2.83,3.17,3.5,3.5,3.25,3.76
R1529,Manufacturing,Micro: Fewer than 10 employees,Less than 3 years,10-49,Semi-urban area,Paper and cardboard,No,External waste-management agency,4,2,2,2,1,2,3,2,3,3,3,3,3,3,3,2,3,3,3,3,3,3,2,3,3,2,4,2,3,3,3,3,3,4,2,3,3,3,4,3,3,2,3,3,2,4,3,3,4,4,3,4,5,4,4,4,4,4,4,4,5,3,2.17,2.83,2.83,2.83,2.83,3.0,3.0,3.0,4.0,4.0,2.94
R1530,Retail,Small: 10-49 employees,3-5 years,10-49,Semi-urban area,Plastic waste,Under development,Operations department,4,4,3,4,3,3,3,2,3,3,2,3,4,2,3,3,3,3,3,4,4,4,2,3,3,3,4,3,3,2,5,4,2,4,5,5,5,5,4,4,4,5,4,5,5,5,5,5,4,3,4,4,4,3,3,3,3,3,3,1,3,4,3.5,2.67,3.0,3.33,3.0,4.17,4.5,4.83,3.67,2.88,3.63
R1531,Retail,Small: 10-49 employees,11-20 years,50-99,Commercial area,Paper and cardboard,Not sure,External waste-management agency,3,3,3,3,3,1,3,3,3,2,2,3,3,4,3,4,3,4,4,4,5,3,4,3,4,2,3,4,4,3,3,5,5,4,5,3,3,2,3,4,3,3,4,3,4,4,2,4,5,4,4,5,4,5,3,3,2,2,3,2,3,4,2.67,2.67,3.5,3.83,3.33,4.17,3.0,3.5,4.5,2.75,3.46
R1532,Retail,Micro: Fewer than 10 employees,3-5 years,10-49,Commercial area,Plastic waste,No,Operations department,5,4,4,3,5,5,3,4,5,5,4,4,3,3,3,3,3,4,3,2,3,3,4,4,4,5,4,4,3,5,3,3,4,2,3,5,4,4,5,4,3,3,3,3,3,3,3,2,4,5,5,4,4,5,3,4,4,2,3,3,3,4,4.33,4.17,3.17,3.17,4.17,3.33,3.83,2.83,4.5,3.25,3.72
R1533,Manufacturing,Medium: 50-249 employees,3-5 years,10-49,Industrial area,Mixed municipal waste,Under development,Environmental or sustainability department,4,4,5,3,4,4,4,3,4,3,3,3,4,3,5,4,4,5,2,3,3,3,3,3,3,3,3,3,2,4,5,3,3,4,4,4,4,4,,4,4,3,4,4,4,3,3,5,4,4,4,4,4,,2,3,3,4,2,3,2,2,4.0,3.33,4.17,2.83,3.0,3.83,3.8,3.83,4.0,2.62,3.64
R1534,Manufacturing,Micro: Fewer than 10 employees,3-5 years,Fewer than 10,Semi-urban area,Mixed municipal waste,Not sure,External waste-management agency,3,,3,3,3,3,2,1,2,3,2,3,3,2,3,2,4,3,4,5,4,4,4,4,2,4,3,2,3,3,4,3,4,4,2,2,3,4,4,4,3,3,4,3,2,3,2,2,3,3,4,3,4,5,3,3,3,3,2,2,4,3,3.0,2.17,2.83,4.17,2.83,3.17,3.5,2.67,3.67,2.88,3.11
R1535,Manufacturing,Medium: 50-249 employees,11-20 years,50-99,Industrial area,Plastic waste,Yes,Environmental or sustainability department,5,3,3,4,3,5,4,3,4,3,3,5,5,5,4,5,5,5,4,5,4,4,4,3,4,5,4,5,4,5,4,4,3,4,3,3,3,4,4,4,3,4,3,5,4,4,4,3,4,3,3,4,5,4,2,1,2,1,1,1,1,2,3.83,3.67,4.83,4.0,4.5,3.5,3.67,3.83,3.83,1.38,3.96
R1536,Retail,Large: 250 employees or more,6-10 years,100-249,Semi-urban area,Plastic waste,Not sure,Operations department,4,3,4,4,3,3,3,4,4,4,5,3,3,4,2,2,4,3,4,3,3,3,2,2,4,4,2,2,3,2,4,3,2,3,3,3,3,3,4,3,2,3,3,3,3,3,3,3,4,3,3,3,4,3,2,3,2,3,4,4,2,3,3.5,3.83,3.0,2.83,2.83,3.0,3.0,3.0,3.33,2.88,3.15
R1537,Healthcare,Medium: 50-249 employees,6-10 years,50-99,Urban area,Paper and cardboard,Not sure,External waste-management agency,4,3,3,4,4,3,5,4,4,3,3,3,4,4,4,,5,5,3,3,4,3,5,2,3,3,3,3,4,3,5,4,3,5,,4,3,5,5,3,5,,3,4,3,3,3,3,4,3,2,3,3,3,2,2,1,3,2,3,1,3,3.5,3.67,4.4,3.33,3.17,4.2,4.2,3.17,3.0,2.12,3.63
R1538,Healthcare,Medium: 50-249 employees,Less than 3 years,50-99,Urban area,Paper and cardboard,No,External waste-management agency,3,4,3,4,4,4,4,3,4,4,3,2,3,3,3,3,3,3,2,1,2,4,3,2,2,2,2,3,2,2,3,2,3,2,4,3,,2,3,5,4,4,3,4,3,3,3,3,2,3,4,3,2,2,2,3,5,3,4,4,2,2,3.67,3.33,3.0,2.33,2.17,2.83,3.6,3.17,2.67,3.12,2.97
R1539,Manufacturing,Micro: Fewer than 10 employees,Less than 3 years,Fewer than 10,Industrial area,Paper and cardboard,No,External waste-management agency,4,3,2,3,3,4,3,3,3,3,3,4,2,3,2,,2,3,5,4,5,4,4,5,4,3,3,4,4,2,4,4,,4,2,3,3,3,3,2,3,2,3,3,3,3,3,2,3,3,3,3,2,3,3,3,2,2,3,3,3,3,3.17,3.17,2.4,4.5,3.33,3.4,2.67,2.83,2.83,2.75,3.14
R1540,Manufacturing,Large: 250 employees or more,6-10 years,250 or more,Industrial area,Plastic waste,Yes,Facility management team,4,5,5,4,,4,3,3,3,3,3,4,4,5,5,3,4,4,3,4,3,3,2,3,5,5,5,4,5,5,3,4,4,3,4,4,5,5,5,4,5,4,2,2,3,2,4,4,4,4,4,4,3,5,3,3,3,3,2,2,3,3,4.4,3.17,4.17,3.0,4.83,3.67,4.67,2.83,4.0,2.75,3.86
R1541,Healthcare,Small: 10-49 employees,Less than 3 years,10-49,Urban area,Mixed municipal waste,Not sure,Operations department,3,4,4,3,4,5,2,2,3,3,3,2,3,4,3,2,4,4,3,4,3,2,3,2,2,3,2,3,,3,3,3,4,3,4,3,3,4,4,4,4,3,3,2,3,4,3,2,3,3,4,4,4,,3,4,3,2,3,4,4,2,3.83,2.5,3.33,2.83,2.6,3.33,3.67,2.83,3.6,3.12,3.17
R1542,Retail,Micro: Fewer than 10 employees,11-20 years,Fewer than 10,Commercial area,Mixed municipal waste,Under development,Environmental or sustainability department,4,4,3,4,3,4,3,3,3,4,2,3,4,2,4,5,3,4,4,3,4,4,5,3,5,4,5,2,3,3,3,4,4,3,5,3,3,4,3,4,3,4,5,4,4,4,4,4,4,3,3,3,3,3,3,2,2,3,3,3,3,,3.67,3.0,3.67,3.83,3.67,3.67,3.5,4.17,3.17,2.71,3.59
R1543,Information Technology,Large: 250 employees or more,11-20 years,250 or more,Urban area,Paper and cardboard,No,External waste-management agency,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
R1544,Manufacturing,Small: 10-49 employees,6-10 years,Fewer than 10,Commercial area,Food or organic waste,Under development,External waste-management agency,5,4,4,3,3,4,2,2,2,2,3,3,4,3,3,4,3,4,3,3,4,4,3,4,2,3,2,2,2,2,4,2,3,2,3,2,4,4,3,4,3,3,2,3,3,4,3,3,3,2,2,2,3,3,3,3,3,4,3,3,3,3,3.83,2.33,3.5,3.5,2.17,2.67,3.5,3.0,2.5,3.12,3.0
R1545,Manufacturing,Large: 250 employees or more,11-20 years,250 or more,Industrial area,Plastic waste,Yes,Facility management team,4,4,3,4,4,4,4,5,4,3,5,5,3,3,1,4,3,3,5,4,4,4,4,5,3,3,4,4,3,4,3,3,3,3,2,4,,4,4,3,5,3,4,3,4,5,4,5,3,3,4,2,2,3,3,3,4,3,2,3,2,1,3.83,4.33,2.83,4.33,3.5,3.0,3.8,4.17,2.83,2.62,3.62
R1546,Retail,Micro: Fewer than 10 employees,Less than 3 years,Fewer than 10,Industrial area,Plastic waste,No,External waste-management agency,4,5,5,5,5,5,3,3,3,4,3,3,4,3,3,3,4,4,3,3,4,4,4,4,4,4,4,4,3,4,3,3,4,4,3,3,4,4,5,4,4,4,3,3,4,4,4,3,4,4,3,4,4,3,,2,2,1,3,2,3,5,4.83,3.17,3.5,3.67,3.83,3.33,4.17,3.5,3.67,2.57,3.74
R1547,Healthcare,Micro: Fewer than 10 employees,Less than 3 years,10-49,Urban area,Plastic waste,No,External waste-management agency,1,,3,1,3,2,2,2,1,1,2,2,3,3,3,2,3,4,2,3,1,4,3,3,2,2,2,4,2,3,2,2,4,3,4,2,3,2,3,3,2,2,4,4,4,5,5,3,4,3,2,3,5,3,1,4,2,4,4,4,4,3,2.0,1.67,3.0,2.67,2.5,2.83,2.5,4.17,3.33,3.25,2.74
R1548,Retail,Micro: Fewer than 10 employees,11-20 years,Fewer than 10,Commercial area,Plastic waste,No,External waste-management agency,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
R1549,Manufacturing,Large: 250 employees or more,6-10 years,250 or more,Semi-urban area,Paper and cardboard,Under development,External waste-management agency,3,5,4,4,4,3,4,4,3,3,4,4,5,3,5,4,4,5,3,4,4,4,3,5,3,5,4,2,4,5,2,4,3,4,4,4,3,3,3,3,2,4,3,4,4,4,4,4,3,2,4,3,3,2,4,4,3,4,4,3,5,3,3.83,3.67,4.33,3.83,3.83,3.5,3.0,3.83,2.83,3.75,3.63
R1550,Manufacturing,Medium: 50-249 employees,3-5 years,50-99,Industrial area,Plastic waste,Not sure,Operations department,3,4,4,3,4,3,4,4,5,5,5,4,4,2,3,3,4,2,4,5,4,3,4,4,4,5,5,4,5,4,3,3,3,2,3,3,3,2,3,4,3,3,,4,4,3,5,5,3,4,3,1,,3,4,4,3,4,4,4,4,5,3.5,4.5,3.0,4.0,4.5,2.83,3.0,4.2,2.8,4.0,3.59
R1551,Healthcare,Small: 10-49 employees,Less than 3 years,10-49,Semi-urban area,Mixed municipal waste,No,External waste-management agency,3,4,4,2,4,4,2,2,2,3,1,2,,3,3,3,2,3,2,2,2,3,3,3,4,4,3,2,2,3,3,3,3,3,3,2,3,4,3,3,3,3,3,3,3,3,3,2,3,2,2,3,2,1,2,3,3,5,4,5,4,3,3.5,2.0,2.8,2.5,3.0,2.83,3.17,2.83,2.17,3.62,2.76
R1552,Manufacturing,Large: 250 employees or more,11-20 years,250 or more,Semi-urban area,Food or organic waste,No,Operations department,2,3,3,3,4,3,4,3,4,4,5,4,5,2,2,3,3,2,3,3,4,4,4,2,2,3,2,3,1,2,3,3,4,2,3,3,2,3,2,4,2,4,4,3,4,4,4,4,3,3,2,3,,2,3,3,3,5,3,3,3,4,3.0,4.0,2.83,3.33,2.17,3.0,2.83,3.83,2.6,3.38,3.07
R1553,Healthcare,Medium: 50-249 employees,3-5 years,100-249,Semi-urban area,Paper and cardboard,No,Facility management team,4,3,3,2,2,3,2,4,3,4,3,3,4,5,5,4,4,4,4,4,3,3,3,4,3,2,3,3,2,3,4,2,3,3,4,4,3,4,4,3,,3,4,3,2,4,4,2,4,4,3,5,4,4,5,5,5,4,5,5,5,5,2.83,3.17,4.33,3.5,2.67,3.33,3.4,3.17,4.0,4.88,3.38
R1554,Manufacturing,Medium: 50-249 employees,Less than 3 years,50-99,Industrial area,Mixed municipal waste,Under development,Operations department,3,3,3,2,2,2,3,3,3,3,3,4,2,4,4,2,,3,4,3,4,3,4,3,3,3,3,2,4,2,2,2,2,2,2,,1,3,2,2,2,2,3,2,2,3,4,3,2,,3,2,2,2,1,2,2,2,3,1,2,3,2.5,3.17,3.0,3.5,2.83,2.0,2.0,2.83,2.2,2.0,2.67
R1555,Retail,Micro: Fewer than 10 employees,Less than 3 years,Fewer than 10,Urban area,Plastic waste,No,External waste-management agency,1,2,2,2,2,,3,4,3,3,3,2,4,3,4,4,5,4,2,3,3,3,3,3,3,2,3,3,3,2,4,4,3,2,2,2,3,2,3,3,3,4,3,3,3,3,3,3,3,3,4,4,3,4,3,4,2,3,3,5,3,5,1.8,3.0,4.0,2.83,2.67,2.83,3.0,3.0,3.5,3.5,2.96
